Country Name;Country Code;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Austria                                      ;AUT;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.5;1.5;1.5
Bulgaria                                     ;BGR;1.4;1.5;1.6;1.7;1.6;1.5;1.5;1.5;1.5;1.5;1.5
Switzerland                                  ;CHE;1.4;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Cyprus                                       ;CYP;1.5;1.5;1.5;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.3
Czech Republic                               ;CZE;1.3;1.4;1.5;1.5;1.5;1.4;1.4;1.5;1.5;1.6;1.6
Germany                                      ;DEU;1.3;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.5;1.5;1.5
Spain                                        ;ESP;1.4;1.4;1.4;1.4;1.4;1.3;1.3;1.3;1.3;1.3;1.3
Estonia                                      ;EST;1.6;1.7;1.7;1.7;1.7;1.6;1.6;1.5;1.5;1.6;1.6
France                                       ;FRA;2;2;2;2;2;2;2;2;2;2;2
United Kingdom                               ;GBR;1.8;1.9;1.9;1.9;1.9;1.9;1.9;1.8;1.8;1.8;1.8
Greece                                       ;GRC;1.4;1.4;1.5;1.5;1.5;1.4;1.3;1.3;1.3;1.3;1.3
Croatia                                      ;HRV;1.5;1.5;1.6;1.6;1.6;1.5;1.5;1.5;1.5;1.4;1.4
Hungary                                      ;HUN;1.3;1.3;1.4;1.3;1.2;1.2;1.3;1.4;1.4;1.4;1.4
Ireland                                      ;IRL;1.9;2;2.1;2.1;2;2;2;2;1.9;1.9;1.9
Iceland                                      ;ISL;2.1;2.1;2.1;2.2;2.2;2;2;1.9;1.9;1.8;1.8
Italy                                        ;ITA;1.4;1.4;1.4;1.4;1.5;1.4;1.4;1.4;1.4;1.4;1.4
Lithuania                                    ;LTU;1.3;1.4;1.4;1.5;1.5;1.6;1.6;1.6;1.6;1.7;1.7
Luxembourg                                   ;LUX;1.6;1.6;1.6;1.6;1.6;1.5;1.6;1.6;1.5;1.5;1.5
Malta                                        ;MLT;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4
Netherlands                                  ;NLD;1.7;1.7;1.8;1.8;1.8;1.8;1.7;1.7;1.7;1.7;1.7
Norway                                       ;NOR;1.9;1.9;2;2;1.9;1.9;1.9;1.8;1.8;1.7;1.7
Poland                                       ;POL;1.3;1.3;1.4;1.4;1.4;1.3;1.3;1.3;1.3;1.3;1.3
Portugal                                     ;PRT;1.4;1.4;1.4;1.3;1.4;1.4;1.3;1.2;1.2;1.3;1.3
Russian Federation                           ;RUS;1.3;1.4;1.5;1.5;1.6;1.6;1.7;1.7;1.8;1.8;1.8
Slovak Republic                              ;SVK;1.2;1.3;1.3;1.4;1.4;1.4;1.3;1.3;1.4;1.4;1.4
Slovenia                                     ;SVN;1.3;1.4;1.5;1.5;1.6;1.6;1.6;1.6;1.6;1.6;1.6
Sweden                                       ;SWE;1.9;1.9;1.9;1.9;2;1.9;1.9;1.9;1.9;1.9;1.9
Turkey                                       ;TUR;2.2;2.2;2.2;2.2;2.2;2.1;2.1;2.1;2.1;2.1;2.1
