LOCATION;MEASURE;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
AUT;MLN_USD;311091.8412;326780.2903;343812.9764;341463.0176;351313.6961;373031.477;391635.1762;406370.2445;417059.5187;431078.1342;451297.2461
CZE;MLN_USD;243445.1989;269055.7953;289157.1486;288245.3284;289800.0366;302260.2358;305309.3707;320535.0972;339582.5988;355311.7368;372257.3969
FRA;MLN_USD;2063551.068;2182208.3645;2259255.8436;2244374.8476;2334490.5519;2446474.5436;2474005.2873;2608523.5042;2662032.8726;2719224.5205;2804273.7771
DEU;MLN_USD;2820716.5369;2998677.8556;3122546.7214;3033861.8295;3204627.1036;3427140.5764;3503684.2066;3647777.5941;3821628.0696;3919280.2932;4110953.334
GRC;MLN_USD;314295.4927;323631.2287;341817.8292;337268.7866;313048.1016;290296.6852;279267.2732;286168.6393;292335.7415;291109.1186;293902.9558
HUN;MLN_USD;184285.4381;191362.818;207576.4765;206985.3806;215349.1695;227766.3138;229105.5356;242025.7031;251774.7606;259425.9339;263522.4647
ISL;MLN_USD;11876.039;12824.1302;13749.8517;13346.8168;12587.0994;13005.319;13446.4487;14296.6258;14966.3831;16119.8745;17638.6847
IRL;MLN_USD;188914.1186;205693.3632;198813.7927;188770.0502;197418.8127;205817.797;212880.6363;221790.1441;238440.774;324244.7636;337275.917
ITA;MLN_USD;1879908.5737;1986698.5847;2082637.2498;2039614.9256;2075187.0663;2158285.1661;2157546.6275;2176319.7676;2192714.3985;2237096.3626;2367104.1077
LUX;MLN_USD;36842.7161;40310.6539;42362.9641;40956.685;43402.0476;47690.506;48646.4521;51940.0871;56353.7548;58544.1624;61159.2587
NLD;MLN_USD;669720.0289;719102.6455;763407.5745;736694.4928;748362.36;777880.9073;792041.8276;827475.7879;830318.4298;852113.2649;874311.8729
NOR;MLN_USD;252048.2856;263226.509;294471.6386;267692.6395;283408.0741;307809.7943;328453.0208;340619.8058;339136.645;314014.3514;304326.7515
POL;MLN_USD;577541.979;639966.8819;698099.5366;734282.7574;800737.3078;869769.8869;907167.5419;940325.256;973566.3249;1020165.6097;1053113.6406
PRT;MLN_USD;259430.889;271016.9046;281180.6857;279732.1349;288732.2202;282733.9076;278160.9044;291753.1919;298995.4896;307476.4343;320522.8634
SVK;MLN_USD;101360.8219;113754.5824;127442.7829;124206.3124;134582.396;139467.3482;144098.0751;151020.734;156749.0236;161041.066;167789.8717
ESP;MLN_USD;1368114.4264;1474260.4308;1537792.117;1501742.6919;1486879.2179;1498957.4062;1496188.3425;1519995.2952;1566855.2387;1626884.2569;1706684.7787
SWE;MLN_USD;340188.5501;371670.0426;386340.8665;369104.3375;390436.5598;413955.8797;426224.1255;438948.504;451571.6716;474642.9177;487065.3382
CHE;MLN_USD;337573.4139;375640.596;402150.9841;400890.6902;415249.7083;444548.7282;462615.2239;486238.7519;506895.0439;529567.772;537700.9554
TUR;MLN_USD;936568.8114;1033243.9338;1130487.0657;1104759.4274;1260360.1461;1443295.5691;1539111.2275;1690856.0865;1851026.0012;2012361.7805;2087370.1871
GBR;MLN_USD;2102524.0504;2171276.2808;2251412.184;2165308.2947;2260384.4099;2329213.5968;2414959.0653;2533408.3138;2640578.6279;2738206.254;2819115.7525
EST;MLN_USD;25936.8472;29447.0954;30303.8388;27360.7241;28735.5072;32579.4377;34419.8396;36239.2955;38074.6859;38426.9501;40654.6655
RUS;MLN_USD;2297667.7113;2560765.9443;3100122.986;2982070.3334;3152688.2425;3475385.0302;3692393.2951;3765660.8198;3768772.4567;3528552.9497;3531999.0486
SVN;MLN_USD;51703.2957;55711.5577;59879.8077;56041.9049;56826.3899;59131.4964;59453.6698;61380.0548;63620.5569;65256.5161;68629.8079
LTU;MLN_USD;53903.0059;61703.4058;66344.1401;57393.9799;62226.6379;69205.5214;73672.7647;78853.6972;82617.2732;83981.8598;86907.2825
BGR;MLN_USD;85994.4489;96587.2715;107360.167;105310.2248;110445.9535;115193.3673;118415.9404;120389.8475;126666.8371;130542.1786;138995.0651
HRV;MLN_USD;75073.8669;83340.2427;89802.0305;86253.552;84965.6998;88859.4888;90287.2262;92803.8448;93571.4326;96717.1612;102373.7342
CYP;MLN_USD;22517.194;25200.0759;27393.6188;27382.894;27562.984;28242.7407;27572.5722;26393.1879;25907.989;26767.7832;28682.6219
MLT;MLN_USD;9412.9236;10124.7198;10722.8428;10782.0332;11527.0251;11905.1973;12365.0383;13238.9344;14505.332;16084.878;17455.9722
